"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP23",0.130236607142857,0.042182774049217,2.38425610974469,0.0175043754590746,0.0393529496435769,-4.60032075735098
"DB338108",0.140380357142857,-0.00830939597315436,2.38381185041818,0.0175252635148448,0.0393962750304185,-4.60136587031421
"AL137361",0.163621875,0.0331109619686801,2.38361268246848,0.0175346350499821,0.0394137060140174,-4.60183434800145
"SPAG11B",-0.156426339285714,0.00185928411633109,-2.38302914896778,0.0175621176789304,0.0394718394761277,-4.60320670035933
"HOXB9",-0.150712053571428,-0.000204026845637586,-2.38215384332366,0.0176034128999058,0.039557585613085,-4.60526462645986
"RSBN1",0.136714732142857,0.233854138702461,2.38215167718839,0.0176035151997822,0.039557585613085,-4.60526971833253
"PPP1R15B",-0.115368303571429,-0.0725798657718121,-2.3820953851655,0.0176061738814219,0.0395599119541253,-4.6054020408062
"NSA2",-0.131736160714286,0.215895973154362,-2.38133298134724,0.0176422171307297,0.0396372438725448,-4.60719387964411
"STK17A",-0.148751785714286,-0.0515351230425056,-2.38112188141297,0.0176522085106527,0.0396560354925402,-4.60768991806056
"AK094963",-0.112592410714286,-0.199196420581655,-2.38089517789952,0.0176629439494509,0.0396764950368935,-4.60822257364238
